x,y
1.7752178969499963,-12.395516
1.6736254120603036,-12.372126171944632
1.5321968693467376,-12.324951150053332
1.390768326633168,-12.259685349192104
1.3185837755237615,-12.216538462311558
1.2493397839196003,-12.176749967390109
1.1079112412060326,-12.074872756006188
1.064813594431826,-12.037560924623117
0.9664826984924648,-11.951317200761128
0.8786257099976881,-11.858583386934674
0.8250541557788971,-11.79776843288966
0.7360344197638665,-11.679605849246231
0.6836256130653293,-11.597753229356933
0.6280885667731385,-11.50062831155779
0.5498374606421726,-11.321650773869347
0.5421970703517616,-11.298750456296633
0.4908374404578181,-11.142673236180904
0.4509561523936548,-10.963695698492463
0.4254743871754569,-10.78471816080402
0.4104735224194257,-10.60574062311558
0.4030479760798106,-10.426763085427137
0.4008954338043791,-10.247785547738694
0.4019792396301971,-10.068808010050253
0.4041350414964855,-9.88983047236181
0.4044867238322324,-9.710852934673367
0.4007685276381938,-9.592072645212674
0.398635260921858,-9.531875396984926
0.3809169013664019,-9.352897859296483
0.3449528614274433,-9.17392032160804
0.2844303449723062,-8.9949427839196
0.259339984924626,-8.943732055062998
0.1950770149179624,-8.815965246231157
0.1179114422110565,-8.69945691879198
0.0695841497965289,-8.636987708542716
-0.0235171005025112,-8.538453980997728
-0.1284296675477574,-8.458010170854273
-0.1649456432160789,-8.433359966558433
-0.3063741859296467,-8.378904702485265
-0.4478027286432144,-8.363838675357673
-0.5892312713567822,-8.38310698728365
-0.73065981407035,-8.42906650044305
-0.8007773541027456,-8.546825960327958
-0.8720883567839177,-8.667227681371125
-1.0135168994974857,-8.810869947431383
-1.1549454422110532,-8.931900642553643
-1.296373984924621,-8.703181572311957
-1.4378025276381887,-8.676378172082769
-1.5202799471928052,-8.642220697170062
-1.5792310703517565,-8.600912614891119
-1.6479379355496082,-8.515874738428987
-1.7049714750112437,-8.36321299021423
-1.7206596130653242,-8.27558728421969
-1.7290028149998156,-8.236867031473157
-1.7418853110289694,-8.084205283258399
-1.763132541450943,-8.681543535043641
-1.8139189465987704,-8.428881786828883
-1.862088155778892,-8.271213223075549
-1.9326193904199669,-8.10253582808781
-2.0035166984924597,-8.473076409608527
-2.1449452412060275,-8.079052482933857
-2.286373783919597,-9.050654226120288
-2.4278023266331648,-8.504762011949794
-2.5692308693467325,-8.484433700339755
-2.7106594120603003,-8.482018521655412
-2.852087954773868,-8.492130294483665
-2.8622362289967467,-8.445383331461628
-2.993516497487436,-8.466188713290611
-3.1349450402010035,-8.49260729366689
-3.185252360884564,-8.46849042380594
-3.2763735829145713,-8.466450164011587
-3.417802125628139,-8.484907454376945
-3.552774523254944,-8.491597516150252
-3.559230668341707,-8.442387739577384
-3.7006592110552745,-8.448530699209703
-3.8420877537688423,-8.451501528946604
-3.98351629648241,-8.456237374157892
-3.99729603780632,-8.410790978265146
-4.124944839195978,-8.419895847143662
-4.2663733819095455,-8.44268266192668
-4.340435859648557,-8.433898070609459
-4.407801924623115,-8.448029713481002
-4.549230467336683,-8.509900770042849
-4.634629256564492,-8.535952531374823
-4.6906590100502505,-8.54550365290389
-4.832087552763818,-8.608076687949419
-4.927261852202485,-8.63800699214019
-4.973516095477386,-8.64191668276339
-5.114944638190954,-8.707427590629248
-5.209129477662937,-8.740061452905556
-5.2563731809045215,-8.747661161414527
-5.397801723618089,-8.822887757578886
-5.461663982197997,-8.84211591367092
-5.539230266331657,-8.877927379325323
-5.680658809045225,-8.957631038370032
-5.6970361984229285,-8.944170374436284
-5.8220873517587926,-9.020102708431232
-5.93032594630911,-9.071865860842676
-5.96351589447236,-9.072101279793808
-6.104944437185928,-9.150944109456377
-6.178155867681193,-9.17392032160804
-6.246372979899496,-9.224004203621556
-6.387801522613064,-9.31897240381741
-6.442143401921006,-9.352897859296483
-6.529230065326631,-9.414599792275864
-6.6706586080402,-9.504309436960936
-6.717343277723088,-9.531875396984926
-6.812087150753768,-9.596455811932028
-6.9535156934673354,-9.68042210330043
-7.010897913511306,-9.710852934673367
-7.094944236180903,-9.762838855327868
-7.236372778894472,-9.837031797997067
-7.361115826110863,-9.88983047236181
-7.37780132160804,-9.898288903405655
-7.519229864321607,-9.960456130636937
-7.660658407035175,-10.008756208010718
-7.802086949748743,-10.046643590709529
-7.90426324042769,-10.068808010050253
-7.943515492462312,-10.079689868498503
-8.084944035175878,-10.112469374173926
-8.226372577889446,-10.138615479451452
-8.367801120603014,-10.158956989994667
-8.509229663316582,-10.117961304228913
-8.650658206030151,-10.070648118910654
-8.792086748743717,-10.016133771315864
-8.933515291457287,-9.953281795345436
-9.074943834170853,-9.880666147131958
-9.216372376884422,-9.796438974853967
-9.357800919597988,-9.698130774050941
-9.403761889761553,-9.624363565605808
-9.499229462311558,-9.535192685705582
-9.640658005025124,-9.469330498746768
-9.768752989628348,-9.445386027917365
-9.782086547738691,-9.492565634383396
-9.92351509045226,-9.442469234988376
-9.993200491666242,-9.433075156895589
-10.064943633165829,-9.409544497319702
-10.142519107239703,-9.36520873031826
-10.206372175879396,-9.305310361489509
-10.23928168812923,-9.297342303740928
-10.296798295137728,-9.17392032160804
-10.319964796853222,-8.9949427839196
-10.314905550857754,-8.815965246231157
-10.283787154777784,-8.636987708542716
-10.225887016688018,-8.458010170854273
-10.206372175879396,-8.414363732820636
-9.900053007585488,-8.27903263316583
-9.850657918880115,-8.120639314231
-9.876095909972339,-8.100055095477387
-9.811615599012772,-7.921077557788946
-9.816372233309403,-7.870641203659028
-9.780844524786778,-7.742100020100503
-9.746372262024405,-7.624137351755229
-9.74994742266272,-7.563122482412061
-9.40185785841501,-7.384144944723619
-9.43232467169179,-7.36378802558144
-9.349000056083868,-7.205167407035177
-9.324229462311557,-7.070632284114625
-9.347155107429655,-7.0261898693467355
-9.215540964501185,-6.847212331658294
-9.207800919597988,-6.729642513979107
-9.03617908797139,-6.668234793969851
-8.975024406576651,-6.489257256281409
-8.916372376884421,-6.325464939077049
-8.911852346067528,-6.310279718592966
-8.861882160309984,-6.131302180904524
-8.960210645720343,-5.952324643216082
-8.924943834170852,-5.83174457197639
-8.91088504185236,-5.77334710552764
-8.86885656104233,-5.594369567839197
-8.823480809773503,-5.415392030150755
-8.833515291457287,-5.273002496758351
-8.824862022272939,-5.2364144924623135
-8.779754976508649,-5.057436954773871
-8.725918095092513,-4.878459417085429
-8.692086748743717,-4.781244556030405
-8.667267837200416,-4.699481879396987
-8.605220142956918,-4.520504341708545
-8.550658206030151,-4.3891375543214455
-8.532761050449494,-4.341526804020102
-8.457250055493162,-4.162549266331661
-8.249229663316582,-4.065757499550006
-8.200923949876303,-3.983571728643218
-8.093352874598027,-3.8045941909547754
-8.077801120603015,-3.795142718270506
-7.971464110436065,-3.6256166532663343
-7.916372577889446,-3.5550394124511056
-7.838518475979935,-3.4466391155778915
-7.754944035175878,-3.3382984377828344
-7.6978793399325145,-3.2676615778894487
-7.593515492462311,-3.133619847720395
-7.55252040298963,-3.0886840402010076
-7.432086949748743,-2.9342224747313557
-7.404870063586125,-2.909706502512565
-7.270658407035175,-2.735373788583541
-7.257388509492612,-2.730728964824122
-6.878128146873489,-2.551751427135681
-6.8492298643216065,-2.5197084023588805
-6.754351281901567,-2.372773889447238
-6.687801321608039,-2.245570317210724
-6.6561316593288735,-2.1937963517587953
-6.71937237683051,-1.814818814070354
-6.9949873340828255,-1.635841276381911
-7.0478013216080395,-1.711885088124863
-7.203330439768441,-1.0568637386934703
-7.269229864321607,-1.5297039788965539
-7.660658407035175,-1.4809346807347163
-7.663140861467118,-1.4778862010050275
-7.776899795772867,-1.2989086633165847
-7.802086949748743,-1.2276207478431205
-7.834109642626262,-1.1199311256281437
-7.852990729170655,-0.9409535879397009
-7.347089836018755,-0.7619760502512581
-7.327670432806333,-0.582998512562817
-7.306589060274764,-0.4040209748743741
-7.302086949748743,-0.3194491495952273
-7.29792709974072,-0.2250434371859313
-7.302086949748743,-0.1604497659321708
-7.311453320481227,-0.0460658994974902
-7.359440060437542,0.1329116381909525
-7.443515492462311,0.3099082117187047
-7.444807927413627,0.5118891758793935
-7.584944035175878,0.6786815967902964
-7.596575252967396,0.6908667135678364
-7.726372577889446,0.8303229266158318
-8.258375112997816,0.6698442512562793
-8.363093071742801,0.8488217889447203
-8.367801120603014,0.8633426856831737
-8.414575134357493,1.027799326633163
-8.426182573918194,1.206776864321606
-8.405759381605506,1.385754402010047
-7.867801120603014,1.526022869784344
-7.857893785592356,1.5647319396984898
-7.792918815072845,1.7437094773869326
-7.726372577889446,1.896398577760512
-7.715965348456379,1.9226870150753737
-7.6472455249810825,2.1016645527638165
-7.585402149293305,2.2806420904522593
-7.58494403517588,2.2822371330339513
-7.54449974790001,2.4596196281407003
-7.512988593864394,2.638597165829143
-7.588352055185944,2.617574703517584
