,FlowSOM_metacluster_V1,FlowSOM_metacluster_1,FlowSOM_metacluster_10,FlowSOM_metacluster_11,FlowSOM_metacluster_12,FlowSOM_metacluster_13,FlowSOM_metacluster_14,FlowSOM_metacluster_15,FlowSOM_metacluster_16,FlowSOM_metacluster_17,FlowSOM_metacluster_18,FlowSOM_metacluster_19,FlowSOM_metacluster_2,FlowSOM_metacluster_20,FlowSOM_metacluster_21,FlowSOM_metacluster_22,FlowSOM_metacluster_23,FlowSOM_metacluster_24,FlowSOM_metacluster_25,FlowSOM_metacluster_26,FlowSOM_metacluster_27,FlowSOM_metacluster_28,FlowSOM_metacluster_29,FlowSOM_metacluster_3,FlowSOM_metacluster_30,FlowSOM_metacluster_31,FlowSOM_metacluster_32,FlowSOM_metacluster_33,FlowSOM_metacluster_34,FlowSOM_metacluster_35,FlowSOM_metacluster_36,FlowSOM_metacluster_37,FlowSOM_metacluster_38,FlowSOM_metacluster_39,FlowSOM_metacluster_4,FlowSOM_metacluster_40,FlowSOM_metacluster_5,FlowSOM_metacluster_6,FlowSOM_metacluster_7,FlowSOM_metacluster_8,FlowSOM_metacluster_9
71,P20_C7_D22_T_Cell_Panel,0,8388,32,1958,250,3,15,29,79,41,205,267,339,162,68,180,117,1551,99,24,893,175,1270,2331,21,22,960,581,28,115,36,3,128,825,4,965,590,86,15,97
72,P26_C1_D1_T_Cell_Panel,0,2671,27,842,70,2,0,1,4,187,427,1497,69,20,185,5,45,1241,320,19,340,62,12196,611,0,562,198,21,7,109,1,38,51,38,1,51,592,89,44,10
73,P26_C1_D8_T_Cell_Panel,0,4816,89,1629,162,4,3,11,35,206,782,1160,100,21,258,8,91,2527,394,22,452,69,6280,1237,1,902,417,33,6,260,1,124,90,142,6,48,271,297,50,22
74,P17_C1_D1_T_Cell_Panel,285,16377,4,11692,783,1174,256,4,11,883,3911,21549,469,639,171,1386,134,5543,156,785,1052,31983,23388,492,14,642,500,234,79,163,6383,1862,1530,14445,1028,180,627,74,339,41
75,P17_C1_D8_T_Cell_Panel,0,2317,278,2408,21,326,50,141,125,44,593,4318,181,60,125,420,84,604,90,18,254,796,36665,52,2,78,80,64,101,123,4,0,43,844,0,190,1067,484,906,108
76,P17_C7_D1_T_Cell_Panel,0,22217,270,7370,496,723,114,185,158,565,2303,9368,1233,642,810,754,421,13093,711,251,9558,14404,21292,2382,27,308,4661,1144,823,102,144,30,593,3990,49,364,1811,192,1434,200
77,P17_C7_D22_T_Cell_Panel,0,12208,758,5104,284,1446,182,904,890,324,1820,29168,813,456,465,583,247,6868,443,203,4614,8105,52852,1065,14,194,1861,571,593,82,59,13,380,3275,27,532,3866,630,3520,609
78,P17_SPD_T_Cell_Panel,0,16657,203,4778,642,494,66,69,53,301,1770,3360,812,781,683,875,478,12936,559,226,10773,15450,18205,2389,38,285,4880,1240,847,107,266,30,546,4986,53,380,593,109,605,155
79,P18_C1_D1_T_Cell_Panel,6665,12574,40,4369,1109,231,232,37,11,642,497,22563,533,966,95,1403,145,215,49,271,1033,55,14526,57,0,372,177,630,12,33,10253,429,25,10421,12,119,814,427,1195,197
80,P18_C1_D8_T_Cell_Panel,0,23371,937,12194,856,1152,48,635,1699,1829,843,2694,1022,1997,960,516,466,758,201,582,4568,272,52343,259,7,184,5629,3576,173,97,601,7,29,8214,7,3543,1841,6112,232,3694
81,P18_C7_D1_T_Cell_Panel,0,37948,392,18263,1507,413,40,131,186,1010,749,3418,1173,2077,2674,832,247,1675,429,258,7021,259,11635,533,45,303,11185,12634,246,35,384,6,62,5796,16,1395,2195,476,75,985
82,P18_C7_D22_T_Cell_Panel,0,30575,2443,15445,1511,783,262,1708,1970,1334,762,35359,1814,2158,1962,1027,332,1292,343,410,5540,320,56111,505,18,342,8696,9692,290,67,509,1,33,6861,5,3274,5861,2021,744,2997
83,P18_SPD_T_Cell_Panel,0,19110,1249,11592,1270,527,119,727,530,1809,920,5496,1157,2129,1557,488,198,420,124,1971,3541,437,57450,179,3,115,2148,1748,126,59,835,15,32,4944,7,24681,5405,627,240,1384
84,P22_C1_D1_T_Cell_Panel,0,5217,56,1994,119,92,27,6,22,150,476,211,281,118,321,65,74,5261,493,46,832,381,7215,2275,1,61,2731,437,84,157,2,1,43,435,5,22498,3261,247,29,401
85,P22_C1_D8_T_Cell_Panel,0,3367,59,2020,48,177,40,14,114,109,338,174,280,60,149,74,91,3508,440,54,430,199,12626,1360,5,50,1332,158,68,220,2,0,35,367,0,18140,1127,4082,39,838
86,P22_C7_D1_T_Cell_Panel,0,2802,107,2528,16,406,25,51,321,262,433,150,325,122,200,119,143,2149,421,89,391,146,20769,1314,5,51,1218,195,102,249,3,0,44,352,0,50078,2540,4265,105,2436
87,P22_C7_D22_T_Cell_Panel,0,3246,124,3734,42,641,41,67,467,386,572,469,531,206,348,191,99,1916,381,114,439,188,37577,1276,6,53,1411,325,155,124,6,1,55,800,2,105551,5660,5533,183,4989
88,P25_C1_D1_T_Cell_Panel,0,12890,364,5481,529,263,1642,2,18,629,878,8692,567,1122,697,23,113,2482,588,173,1608,18,36837,606,966,39,3191,782,80,93,8,0,512,2363,17,478,1586,141,419,138
89,P25_C1_D8_T_Cell_Panel,0,8761,328,4485,410,227,1199,18,138,426,632,11031,489,656,418,29,125,2994,531,151,1661,13,34869,739,1227,40,3165,667,103,138,19,3,688,1803,20,392,1908,1318,1166,149
90,P13_C12_D29_T_Cell_Panel,0,65473,1123,25984,3420,544,84,313,567,3317,5975,9964,2689,2912,2437,1600,739,18426,2627,511,15601,1330,73623,7260,749,318,18285,5443,506,419,485,25,4271,10245,63,1249,2980,1778,362,1185
91,P13_C1_D1_T_Cell_Panel,6921,62520,36,13766,5126,99,186,2,2,1159,4412,14771,1299,1262,201,6736,209,7126,411,699,1370,2910,13186,1397,63,2113,173,151,20,327,35219,12124,948,15078,5710,123,203,50,370,50
92,P13_C1_D8_T_Cell_Panel,0,106476,897,17729,5117,54,45,51,103,1767,4882,3710,2279,3469,4235,3273,1157,26575,2999,229,34107,2371,40841,10750,1236,652,33413,12679,766,416,896,54,8562,30184,95,921,826,525,171,223
93,P13_C7_D1_T_Cell_Panel,0,36816,461,13928,1468,760,34,77,177,2751,3692,1220,1155,1502,1659,762,520,13746,1462,328,13965,758,42897,6141,955,234,17750,4207,369,239,1101,46,5280,7485,124,686,986,993,112,351
