,FlowSOM_metacluster_ 1,FlowSOM_metacluster_ 2,FlowSOM_metacluster_ 3,FlowSOM_metacluster_ 4,FlowSOM_metacluster_ 5,FlowSOM_metacluster_ 6,FlowSOM_metacluster_ 7,FlowSOM_metacluster_ 8,FlowSOM_metacluster_ 9,FlowSOM_metacluster_ 10,FlowSOM_metacluster_ 11,FlowSOM_metacluster_ 12,FlowSOM_metacluster_ 13,FlowSOM_metacluster_ 14,FlowSOM_metacluster_ 15,FlowSOM_metacluster_ 16,FlowSOM_metacluster_ 17,FlowSOM_metacluster_ 18,FlowSOM_metacluster_ 19,FlowSOM_metacluster_ 20,FlowSOM_metacluster_ 21,FlowSOM_metacluster_ 22,FlowSOM_metacluster_ 23,FlowSOM_metacluster_ 24,FlowSOM_metacluster_ 25,FlowSOM_metacluster_ 26,FlowSOM_metacluster_ 27,FlowSOM_metacluster_ 28,FlowSOM_metacluster_ 29,FlowSOM_metacluster_ 30,FlowSOM_metacluster_ 31,FlowSOM_metacluster_ 32,FlowSOM_metacluster_ 33,FlowSOM_metacluster_ 34,FlowSOM_metacluster_ 35,FlowSOM_metacluster_ 36,FlowSOM_metacluster_ 37,FlowSOM_metacluster_ 38,FlowSOM_metacluster_ 39,FlowSOM_metacluster_ 40,Patient_ID,time
36,340,107,4768,6,1,18,0,293,2959,311,840,123,11,258,1318,25,0,1336,63,12,439,328,20,621,22,315,679,288,1120,2235,4152,672,388,503,1992,41,427,263,796,64,P16,C1_D8
37,115,42,1365,0,1,3,0,103,897,120,258,63,8,98,374,5,0,689,64,3,155,105,26,222,6,194,429,147,411,1863,1751,363,358,193,952,13,168,108,755,34,P16,C7_D1
38,276,128,3318,3,0,7,0,226,2244,228,615,136,9,257,804,6,0,1057,42,9,319,236,16,463,13,196,456,334,946,1509,3120,736,267,262,1165,35,213,128,506,48,P16,C7_D22
39,15,1,17,90,118,158,42,19,66,12,38,7,2,2,4,0,0,18,27,4,35,28,20,21,2,5,89,26,90,222,56,47,79,61,92,9,10,6,397,2,P14,C1_D1
40,89,97,313,0,0,6,0,460,583,329,836,454,12,91,55,13,0,80,22,3,333,121,20,724,16,74,171,363,372,225,886,926,53,200,426,12,57,162,97,16,P14,C1_D8
41,196,209,523,3,0,15,3,1011,1286,469,1707,1154,14,241,113,37,0,167,23,12,711,172,26,1516,53,86,360,745,793,265,1747,2037,45,347,683,30,111,358,127,35,P14,C7_D22
42,61,96,187,1,0,0,0,283,392,549,811,130,28,37,25,2,0,47,16,1,183,87,21,923,29,70,149,333,320,131,621,461,14,288,588,13,55,164,60,16,P14,SPD
43,12,14,114,440,1068,565,434,61,380,35,209,16,9,25,114,13,0,60,185,49,1026,9,60,53,8,226,439,71,49,233,156,151,108,89,200,60,19,39,201,2,P05,C1_D1
44,166,322,3191,2,1,6,3,720,6059,1433,1567,286,59,204,304,125,0,698,148,2,5642,206,224,1445,5,720,1038,1776,1245,512,1669,1206,56,99,912,7,152,522,149,95,P05,C1_D8
45,29,54,454,0,2,2,0,148,834,168,287,84,6,49,44,6,0,264,9,0,765,12,3,277,0,90,129,244,177,50,527,286,14,20,241,1,35,26,13,4,P05,C12_D29
