cluster,cell_type
1,CD33 HSC
2,Myeloid precursor
3,HSC
4,Myeloid precursor
5,Myeloid precursor
6,CD56 pos
7,CD56 pos
8,Myeloid precursor
9,Myeloid precursor
10,Myeloid precursor
11,MEP
12,GMP
13,GMP
14,Myeloid precursor
15,CD56 pos
16,CMP
17,Myeloid precursor
18,MEP
19,Myeloid precursor
20,Myeloid precursor
