"","V1","V2","V3"
"1229","MamRep137","DNA","TcMar-Tigger"
"1306","L1MA4A","LINE","L1"
"1311","Tigger3b","DNA","TcMar-Tigger"
"1365","MER104","DNA","TcMar-Tc2"
"1368","Kanga11a","DNA","TcMar-Tc2"
"1373","Charlie23a","DNA","hAT-Charlie"
"1376","Tigger9a","DNA","TcMar-Tigger"
"1378","Charlie17","DNA","hAT-Charlie"
"1450","LTR2","LTR","ERV1"
"1464","Tigger4","DNA","TcMar-Tigger"
"1542","Cheshire","DNA","hAT-Charlie"
"1568","LTR16","LTR","ERVL"
"1597","HSMAR1","DNA","TcMar-Mariner"
"1636","Tigger6b","DNA","TcMar-Tigger"
"1639","HERVK-int","LTR","ERVK"
"1644","Tigger6a","DNA","TcMar-Tigger"
"1645","L1HS","LINE","L1"
"1655","L1M3f","LINE","L1"
"1692","MER6B","DNA","TcMar-Tigger"
"1753","HERVL74-int","LTR","ERVL"
"1990","LTR37-int","LTR","ERV1"
"2008","LTR46-int","LTR","ERV1"
"2009","L1M2a","LINE","L1"
"2050","L1PBa","LINE","L1"
"2162","Tigger3","DNA","TcMar-Tigger"
"2193","MSTD-int","LTR","ERVL-MaLR"
"2194","Looper","DNA","PiggyBac"
"2201","LTR6A","LTR","ERV1"
"2358","LTR31","LTR","ERV1"
"2455","HERVS71-int","LTR","ERV1"
"2642","AluYb9","SINE","Alu"
"2677","L1M3d","LINE","L1"
"3273","L1M3b","LINE","L1"
"3325","L1P4a","LINE","L1"
"3559","LTR25-int","LTR","ERV1"
"4093","SST1","Satellite","centr"
"4542","MER96","DNA","hAT"
"15504","MamRep1879","DNA","hAT-Tip100"
"15528","MER121","DNA","hAT"
