"logFC","AveExpr","t","P.Value","adj.P.Val","B","logP","tag","Gene"
-2.2439663,13.5193361764706,-4.96653138138947,0.000103083832636283,0.0120645545458662,1.38156793260075,1.91848870871945,"NR -vs- CR","PDGFB"
-2.8719153,13.1215819411765,-4.92421529861768,0.000112927604559905,0.0120645545458662,1.29307396856263,1.91848870871945,"NR -vs- CR","EGF"
-3.21237037142856,16.4358940588235,-4.6814452272213,0.000191169211842147,0.0120645545458662,0.782462125094326,1.91848870871945,"NR -vs- CR","IRAK4"
-2.42719905714285,13.4642372941176,-4.67699286194263,0.000193032872733859,0.0120645545458662,0.773055397100406,1.91848870871945,"NR -vs- CR","CXCL3"
-2.10156655714286,13.2773957647059,-4.35327539686702,0.000392330159751172,0.0166484770473457,0.0859549629272278,1.77862548829489,"NR -vs- CR","PDGFA"
-2.56373601428572,11.1914852941176,-4.34497751356737,0.000399563449136297,0.0166484770473457,0.0682757902978262,1.77862548829489,"NR -vs- CR","FLT3LG"
-3.14499374285714,12.4571491764706,-4.25737750311275,0.000484664591680894,0.0173094497028891,-0.118501149148508,1.76171673887201,"NR -vs- CR","CXCL5"
-1.91619269999999,14.9724431764706,-3.97796716239082,0.000899127714366268,0.0226885309239462,-0.715159507752604,1.64419362365137,"NR -vs- CR","MIF"
-4.45192185714285,12.3465007058824,-3.9610808830683,0.000933407878210993,0.0226885309239462,-0.751220955692921,1.64419362365137,"NR -vs- CR","BDNF"
-4.18783267142857,13.7999484117647,-3.94605507777725,0.00096501240415751,0.0226885309239462,-0.783305955908746,1.64419362365137,"NR -vs- CR","CCL5"
-2.45081754285714,13.7353312352941,-3.93075577226236,0.000998295360653632,0.0226885309239462,-0.815971212356867,1.64419362365137,"NR -vs- CR","CXCL2"
-2.16635881428571,12.908341,-3.83066507605874,0.00124630528958701,0.0259646935330626,-1.02954096040549,1.58561679911111,"NR -vs- CR","IL7"
-2.22736147142857,13.4882870588235,-3.71532728634894,0.00160942419907409,0.0309504653668094,-1.27520783580842,1.50933281660451,"NR -vs- CR","TNFSF13"
-1.22547988571428,13.0208482352941,-3.61556978362832,0.00200748909328587,0.0358480195229619,-1.4871221997389,1.44553483257659,"NR -vs- CR","SELP"
-2.06554242857142,14.4262545294118,-3.5746638330955,0.00219775707446376,0.0366292845743961,-1.57382276905848,1.43617156368397,"NR -vs- CR","CD40LG"
-1.7459585,12.8622634117647,-3.28159437257322,0.00419502728588789,0.0655473013419982,-2.19028652642757,1.18344518401059,"NR -vs- CR","ANGPT1"
1.01184790000001,12.8417523529412,3.03558823582629,0.00718008223909511,0.105589444692575,-2.69864663017095,0.976379494121225,"NR -vs- CR","SDC1"
-1.60627128571428,13.7168041764706,-2.97822735677254,0.00813047159076506,0.112923216538404,-2.81558218821512,0.947216759776056,"NR -vs- CR","CTF1"
0.784792985714294,13.1796543529412,2.9482630936689,0.00867440384430058,0.114136892688166,-2.87639021277196,0.942573955045801,"NR -vs- CR","IL18BP"
-0.935102071428565,13.3680614705882,-2.898644200723,0.00965352664336676,0.120669083042084,-2.97664264578656,0.918403987435092,"NR -vs- CR","IL18"
-1.53934934285714,14.2325714705882,-2.83047067369325,0.0111745116147122,0.133029900175145,-3.11343198301078,0.876050734810077,"NR -vs- CR","IKBKG"
-1.06467575714285,14.324621,-2.8042157176483,0.0118198112341362,0.134316036751548,-3.16580197715796,0.871872131360232,"NR -vs- CR","CCL13"
-0.593875157142854,13.5245234705882,-2.71086419044431,0.0144167247695122,0.154336915773874,-3.35051148124648,0.811530182819843,"NR -vs- CR","TNFSF12"
-1.67572117142857,14.2552977647059,-2.69795181086791,0.0148163439142919,0.154336915773874,-3.37586789047605,0.811530182819843,"NR -vs- CR","MMP1"
-1.33576287142857,13.4021812941176,-2.67179564653988,0.0156585097530881,0.156585097530881,-3.42708144035781,0.805249572853258,"NR -vs- CR","CCL28"
-1.65218904285714,12.9675917647059,-2.62422806336439,0.0173083991307449,0.159439678156275,-3.51968827822468,0.797403590970231,"NR -vs- CR","CCL17"
-0.705351485714283,13.0284293529412,-2.60275787895758,0.0181061185062814,0.159439678156275,-3.56125630439582,0.797403590970231,"NR -vs- CR","THPO"
1.14539631428572,9.63251817647058,2.60230070173612,0.0181234788295559,0.159439678156275,-3.56213983807014,0.797403590970231,"NR -vs- CR","IFNW1"
-0.882879757437722,14.0777562467273,-2.59261515669197,0.0184950026661279,0.159439678156275,-3.58084214852013,0.797403590970231,"NR -vs- CR","IL7R_IL7"
0.558044742857138,13.3814025294118,2.48994019393538,0.022903468768674,0.19086223973895,-3.77717666873581,0.719279984100319,"NR -vs- CR","CD274"
2.37718292857143,11.9943555294118,2.42346256778411,0.0262674982642855,0.211834663421657,-3.90231207727693,0.674002972930158,"NR -vs- CR","CXCL12"
1.08728718571429,12.3180135882353,2.40648726498357,0.0271979941100041,0.212484328984407,-3.93400198470424,0.672673094256312,"NR -vs- CR","CSF3R"
