"logFC","AveExpr","t","P.Value","adj.P.Val","B","logP","tag","Gene"
-1.79211671987264,7.38718459825266,-3.68838944384893,0.00137336882780222,0.343342206950554,-2.24067636289982,0.464272805607132,"NR -vs- CR","IL36A"
-1.40586914844407,6.47230333509476,-2.92090887669379,0.00819370983747616,0.70139980295271,-3.04609185078659,0.154034360462732,"NR -vs- CR","CCL28"
-0.884080803205972,6.34459622983161,-2.47919635786721,0.0217742244338037,0.70139980295271,-3.50227434465605,0.154034360462732,"NR -vs- CR","CCL16"
-1.93462305320597,9.41581559825266,-2.37850984704485,0.0269980034625988,0.70139980295271,-3.6033402435994,0.154034360462732,"NR -vs- CR","MMP9"
-1.17916739844407,5.79761428246319,-2.34787825015993,0.0288042076325349,0.70139980295271,-3.63379063339596,0.154034360462732,"NR -vs- CR","IL4"
1.03179591107974,6.69208254562108,2.29679448863398,0.032066158371625,0.70139980295271,-3.68423579999799,0.154034360462732,"NR -vs- CR","CRP"
1.45673686346069,7.59359807193687,2.07972935354201,0.0500463980137926,0.70139980295271,-3.89322390705331,0.154034360462732,"NR -vs- CR","CXCL12"
-0.569257672253589,7.21286828246319,-2.03020762241989,0.0552522455414245,0.70139980295271,-3.93952038546242,0.154034360462732,"NR -vs- CR","TNFRSF11B"
-1.17722949368216,10.8136629140421,-2.01769969717054,0.0566414915460788,0.70139980295271,-3.95112370762921,0.154034360462732,"NR -vs- CR","MMP8"
-1.17795646987264,10.7979769140421,-1.97722191475821,0.0613533245870636,0.70139980295271,-3.98841628027178,0.154034360462732,"NR -vs- CR","CTF1"
-0.682114136539306,8.34777333509476,-1.9645908337391,0.0628933357783373,0.70139980295271,-3.99997098513553,0.154034360462732,"NR -vs- CR","GFAP"
-0.820609707967877,5.89752265088424,-1.93438185135664,0.0667162284768596,0.70139980295271,-4.02744218280809,0.154034360462732,"NR -vs- CR","GDF2"
-1.6443762317774,5.98768138772634,-1.93365270522794,0.0668109855650002,0.70139980295271,-4.02810235740406,0.154034360462732,"NR -vs- CR","CXCL5"
-0.867288196063115,5.77321422983161,-1.90578690262831,0.0705224647440212,0.70139980295271,-4.05322823311523,0.154034360462732,"NR -vs- CR","CCL25"
-0.590953243682162,6.95121817720003,-1.89859392485356,0.0715094960317387,0.70139980295271,-4.05968065416436,0.154034360462732,"NR -vs- CR","KNG1"
-0.847378767491689,7.91498628246319,-1.8854834696576,0.0733397936164727,0.70139980295271,-4.071405630189,0.154034360462732,"NR -vs- CR","HAVCR1"
-0.586127184158349,6.88187728246319,-1.88050090820434,0.0740460943905737,0.70139980295271,-4.07584946673434,0.154034360462732,"NR -vs- CR","ICOSLG"
-1.57811681511073,5.58095533509476,-1.86529411943681,0.0762387188132757,0.70139980295271,-4.08937015666201,0.154034360462732,"NR -vs- CR","CCL22"
-0.910171446063112,11.0059803877263,-1.84199602794462,0.0797081508449117,0.70139980295271,-4.10996091419859,0.154034360462732,"NR -vs- CR","IKBKG"
-0.722021862729788,8.55261007193687,-1.79519383346195,0.0870954149820655,0.70139980295271,-4.15085897648043,0.154034360462732,"NR -vs- CR","TNFSF12"
-0.841884065110732,8.01064722983161,-1.78499905813061,0.0887810532555299,0.70139980295271,-4.15968326887594,0.154034360462732,"NR -vs- CR","CALCA"
-0.982296862729781,8.48213928246319,-1.76736193127321,0.0917638462547263,0.70139980295271,-4.17487659831439,0.154034360462732,"NR -vs- CR","CEACAM5"
-1.0031519817774,9.84698665088424,-1.76296316861623,0.0925210899879262,0.70139980295271,-4.17865135468098,0.154034360462732,"NR -vs- CR","FLT1"
-0.739186922253591,5.93436301930529,-1.74933412342388,0.0949015766516825,0.70139980295271,-4.19030983075304,0.154034360462732,"NR -vs- CR","SCG2"
-0.91874744606311,7.35704780877898,-1.74613377160087,0.0954681312935332,0.70139980295271,-4.19303926279418,0.154034360462732,"NR -vs- CR","PTX3"
-1.18692171987263,7.74709317720003,-1.73502918637673,0.0974565417324572,0.70139980295271,-4.2024854976191,0.154034360462732,"NR -vs- CR","LCN2"
-0.686542338920257,6.28143380877898,-1.70204569589976,0.103573137258072,0.70139980295271,-4.23031743948086,0.154034360462732,"NR -vs- CR","SELE"
-0.79939945796788,10.9918577035158,-1.67340557400479,0.109146902165527,0.70139980295271,-4.25420492147011,0.154034360462732,"NR -vs- CR","OSM"
-0.539930672253589,5.50580896667371,-1.6581127192115,0.112225961058485,0.70139980295271,-4.26685147260913,0.154034360462732,"NR -vs- CR","VEGFD"
-0.828802588920257,4.16421838772634,-1.63311274429208,0.117417543809743,0.70139980295271,-4.28735973691897,0.154034360462732,"NR -vs- CR","IL17A"
-0.536416719872635,8.22528891404213,-1.62748033891481,0.118614710516893,0.70139980295271,-4.2919514679493,0.154034360462732,"NR -vs- CR","CD276"
-1.41013256511074,10.4298640193053,-1.62036222776231,0.120142332600275,0.70139980295271,-4.2977391525682,0.154034360462732,"NR -vs- CR","S100A12"
-0.417762577015496,7.59099459825266,-1.60934723177548,0.122538814542256,0.70139980295271,-4.30666161752331,0.154034360462732,"NR -vs- CR","IL6ST"
-1.34497410082502,7.09491101930529,-1.58156368285087,0.128761966310812,0.70139980295271,-4.32898288747126,0.154034360462732,"NR -vs- CR","EGF"
-0.729013457967875,8.19109438772634,-1.57521813519852,0.130219673838376,0.70139980295271,-4.33404347644221,0.154034360462732,"NR -vs- CR","IL7"
-0.591862957967875,7.29456001930529,-1.57380330843789,0.130546556144021,0.70139980295271,-4.33516989084411,0.154034360462732,"NR -vs- CR","IL17B"
-1.24001516034883,10.8151610193053,-1.56344851121728,0.132959773328946,0.70139980295271,-4.34339253470149,0.154034360462732,"NR -vs- CR","GZMB"
-2.36664816034883,0.137286703515818,-1.55341203445165,0.135334046580179,0.70139980295271,-4.35132640117971,0.154034360462732,"NR -vs- CR","CCL5"
-0.435885577015494,8.52251270351582,-1.5518519831015,0.135706236384158,0.70139980295271,-4.35255642764693,0.154034360462732,"NR -vs- CR","TNFRSF1A"
-0.826081684158352,8.0276404929895,-1.54922630493031,0.136334572911306,0.70139980295271,-4.35462470038915,0.154034360462732,"NR -vs- CR","CCL17"
-0.622023434158351,7.12300559825266,-1.54666918346088,0.136948816985288,0.70139980295271,-4.35663661527064,0.154034360462732,"NR -vs- CR","SELP"
-0.467990838920252,8.10655028246319,-1.51442821770457,0.144891535595036,0.70139980295271,-4.38180234194476,0.154034360462732,"NR -vs- CR","IL15"
-0.781292315110731,10.5810317561474,-1.50416853184037,0.147497138177219,0.70139980295271,-4.38973157644218,0.154034360462732,"NR -vs- CR","IL16"
-0.484995398444064,7.05024786141056,-1.49806753907446,0.149064713624192,0.70139980295271,-4.39442847084013,0.154034360462732,"NR -vs- CR","FURIN"
-1.26108544606311,9.61824128246318,-1.49392623792208,0.150136523805978,0.70139980295271,-4.39760887851366,0.154034360462732,"NR -vs- CR","IRAK4"
-0.801040160348827,8.02677765088424,-1.4938224125877,0.150163475653242,0.70139980295271,-4.39768853229605,0.154034360462732,"NR -vs- CR","ANGPT1"
-0.631754529396442,8.71578112456845,-1.48941310600263,0.151311738106371,0.70139980295271,-4.40106763254614,0.154034360462732,"NR -vs- CR","PDGFA"
-0.681952850825015,9.7502227561474,-1.47410500357229,0.15535404241433,0.70139980295271,-4.41274308081125,0.154034360462732,"NR -vs- CR","CD3E"
-0.558814291301209,7.16080917720003,-1.46147682774582,0.158754500845695,0.70139980295271,-4.42230861849664,0.154034360462732,"NR -vs- CR","THPO"
-0.944109148444066,6.58347344035792,-1.45364093189214,0.160894737148398,0.70139980295271,-4.42821391322249,0.154034360462732,"NR -vs- CR","LIF"
0.517666220603551,7.45468917720003,1.44289566705788,0.163867570597545,0.70139980295271,-4.43627390296655,0.154034360462732,"NR -vs- CR","IL2RB"
-0.751804957967879,8.50535301930529,-1.43725774624585,0.165445057767752,0.70139980295271,-4.44048528058873,0.154034360462732,"NR -vs- CR","TNFSF13"
-0.407123755586921,9.25285491404214,-1.43549298271241,0.1659413496743,0.70139980295271,-4.44180101198354,0.154034360462732,"NR -vs- CR","BMP7"
-0.603918648444063,7.55367328246319,-1.40280811966321,0.175351893443491,0.70139980295271,-4.46595209813932,0.154034360462732,"NR -vs- CR","AGER"
-0.53749839844407,8.61683565088424,-1.39946270759692,0.176338749713701,0.70139980295271,-4.46840059701484,0.154034360462732,"NR -vs- CR","TREM1"
-0.719960469872634,8.15194628246319,-1.39799750135128,0.176772364297755,0.70139980295271,-4.46947159583115,0.154034360462732,"NR -vs- CR","CSF3"
-0.478086696063113,5.0647167561474,-1.3923017239343,0.178466079841931,0.70139980295271,-4.47362693419679,0.154034360462732,"NR -vs- CR","IL36B"
-0.410520862729776,8.72434959825266,-1.37570175062556,0.183476249113921,0.70139980295271,-4.4856643169155,0.154034360462732,"NR -vs- CR","VEGFC"
-0.346147624634542,6.27595838772635,-1.373584532427,0.18412322804294,0.70139980295271,-4.48719174252959,0.154034360462732,"NR -vs- CR","TIMP2"
-0.724088398444064,10.4499809666737,-1.36927972283598,0.185444277460434,0.70139980295271,-4.49029185145124,0.154034360462732,"NR -vs- CR","IL18"
-0.34194386272978,9.90580980877897,-1.36803038908095,0.185829074797195,0.70139980295271,-4.49119017368645,0.154034360462732,"NR -vs- CR","TGFB1"
-1.06052707701549,6.85757712456845,-1.36422862797166,0.187003921340063,0.70139980295271,-4.49391995430598,0.154034360462732,"NR -vs- CR","IL32"
-0.377915078882369,9.22793862786709,-1.36392871515274,0.187096852391189,0.70139980295271,-4.49413505451461,0.154034360462732,"NR -vs- CR","IL15_IL15RA"
-0.449528493682159,7.48540228246319,-1.3524565804658,0.190679146709954,0.70139980295271,-4.50233584364452,0.154034360462732,"NR -vs- CR","CXCL16"
0.877988887270222,4.56664296667371,1.34947155165135,0.191620082282336,0.70139980295271,-4.50446097926145,0.154034360462732,"NR -vs- CR","CSF1R"
-0.413644577015495,6.5910387561474,-1.33964122233775,0.194744697949817,0.70139980295271,-4.51143399415452,0.154034360462732,"NR -vs- CR","IL13RA2"
-0.590355410348828,8.43163659825266,-1.33715970498138,0.195539766450003,0.70139980295271,-4.51318802189437,0.154034360462732,"NR -vs- CR","MMP3"
-0.883124600825018,7.51930359825266,-1.33234436457647,0.197089863464189,0.70139980295271,-4.51658452265681,0.154034360462732,"NR -vs- CR","IL17C"
0.687437161079739,8.82402328246318,1.32829976670812,0.198399296015744,0.70139980295271,-4.51943006277556,0.154034360462732,"NR -vs- CR","CCL8"
0.863629958698789,10.7897813350948,1.31705070582977,0.202077055305196,0.70139980295271,-4.52730897042474,0.154034360462732,"NR -vs- CR","CXCL11"
-0.445273886539303,8.79511301930529,-1.30767795230022,0.205181912805364,0.70139980295271,-4.53383389074773,0.154034360462732,"NR -vs- CR","CCL11"
-0.343768005586924,8.3074427561474,-1.29055930785911,0.210948564695464,0.70139980295271,-4.54565709443974,0.154034360462732,"NR -vs- CR","CD46"
-0.43323704130121,8.24734622983161,-1.28722163462904,0.21208742537382,0.70139980295271,-4.54794805489187,0.154034360462732,"NR -vs- CR","IL15RA"
-0.360698696063111,6.80770796667371,-1.28705593402347,0.212144088687367,0.70139980295271,-4.54806166928639,0.154034360462732,"NR -vs- CR","AREG"
-0.40001710082502,5.03388407193687,-1.28211963082322,0.213837503456834,0.70139980295271,-4.55144101523039,0.154034360462732,"NR -vs- CR","WNT7A"
-0.728989207967874,9.25439007193687,-1.27770362494625,0.215361278051236,0.70139980295271,-4.55445549152629,0.154034360462732,"NR -vs- CR","CXCL14"
-0.336471410348826,7.12841580877898,-1.27576996100645,0.216031139309435,0.70139980295271,-4.55577287335681,0.154034360462732,"NR -vs- CR","VSNL1"
-0.679480779396446,7.31364001930529,-1.24155720942149,0.228150727685527,0.720601489971308,-4.57881922435205,0.142304844231701,"NR -vs- CR","CXCL2"
-0.421885279396448,8.04052912456845,-1.23727246460815,0.229704516733443,0.720601489971308,-4.58167025246424,0.142304844231701,"NR -vs- CR","TNFRSF14"
-0.608045874634542,6.75747780877898,-1.23483374284539,0.230592476790819,0.720601489971308,-4.58328942403302,0.142304844231701,"NR -vs- CR","FGF21"
-0.444478403065558,8.80731666930897,-1.22007475473428,0.236022276690033,0.723313942178062,-4.59303368488365,0.140673163614841,"NR -vs- CR","IL7R_IL7"
-0.723208017491685,6.40795265088424,-1.21320249358958,0.238583448686916,0.723313942178062,-4.59753865899138,0.140673163614841,"NR -vs- CR","FGF19"
-0.487972100825018,7.96740759825266,-1.20143214055907,0.243018850367434,0.723313942178062,-4.60520656889023,0.140673163614841,"NR -vs- CR","IL34"
-0.601104267491683,9.2418454929895,-1.19607514802586,0.245057995554451,0.723313942178062,-4.6086763163717,0.140673163614841,"NR -vs- CR","HLA_DRA"
-0.599258446063113,7.14151328246319,-1.1759721930035,0.252825079783146,0.723313942178062,-4.62158414725816,0.140673163614841,"NR -vs- CR","IL10"
-0.562350588920254,7.46576091404213,-1.16868036584688,0.255687431443604,0.723313942178062,-4.62622180293262,0.140673163614841,"NR -vs- CR","CSF2"
-0.523305707967882,7.50742270351582,-1.16079484786823,0.258809948768688,0.723313942178062,-4.63121033468197,0.140673163614841,"NR -vs- CR","IL22"
0.374061351555934,8.14382070351582,1.15308747734944,0.261889234444765,0.723313942178062,-4.63605923716532,0.140673163614841,"NR -vs- CR","IL3RA"
0.323757982508316,7.63370196667371,1.14882680716333,0.263603095170302,0.723313942178062,-4.63872826911863,0.140673163614841,"NR -vs- CR","CD80"
-0.428132112729777,7.6446254929895,-1.14536087860613,0.265003382738498,0.723313942178062,-4.6408934113749,0.140673163614841,"NR -vs- CR","WNT16"
-0.425227743682162,6.83818844035792,-1.14146121132702,0.266585472969699,0.723313942178062,-4.64332302096452,0.140673163614841,"NR -vs- CR","CCL15"
0.425409184889267,7.6208134929895,1.12697447091267,0.272523766806435,0.723313942178062,-4.6522883301277,0.140673163614841,"NR -vs- CR","TNFRSF8"
